contractId,businessDate,tradeTime,stockSymbol,securityName,stockId,buyerMemberId,buyerBrokerName,sellerMemberId,sellerBrokerName,contractQuantity,contractRate,contractAmount,tradeBookId
2026092201000001,2026-09-22,2026-09-22T10:46:00.009145,NIMB,Nepal Investment Mega Bank Limited,132,34,Vision Securities Pvt. Ltd,16,Primo Securities (PVT) Ltd.,10,205.5,2055.0,199220109
2026092201000002,2026-09-22,2026-09-22T10:46:00.016695,HBL,Himalayan Bank Limited,134,1,Kumari Securities Private Limited,52,Sundhara Securities Limited,10,198.0,1980.0,199220112
2026092201000003,2026-09-22,2026-09-22T10:46:00.016732,HBL,Himalayan Bank Limited,134,1,Kumari Securities Private Limited,41,Linch Stock Market Ltd.,10,198.0,1980.0,199220114
2026092201000004,2026-09-22,2026-09-22T10:46:00.016763,HBL,Himalayan Bank Limited,134,1,Kumari Securities Private Limited,17,ABC Securities Private Limited,10,198.0,1980.0,199220118
2026092201000005,2026-09-22,2026-09-22T10:46:00.016814,HBL,Himalayan Bank Limited,134,1,Kumari Securities Private Limited,49,Online Securities Pvt. Ltd.,10,198.0,1980.0,199220120
2026092201000006,2026-09-22,2026-09-22T10:46:00.026618,MBL,Machhapuchhre Bank Limited,140,42,Sani Securities Company Ltd.,14,Nepal Stock House (PVT) Ltd.,10,260.8,2608.0,199220137
2026092201000007,2026-09-22,2026-09-22T10:46:00.026648,MBL,Machhapuchhre Bank Limited,140,49,Online Securities Pvt. Ltd.,14,Nepal Stock House (PVT) Ltd.,390,260.8,101712.0,199220138
2026092201000008,2026-09-22,2026-09-22T10:46:00.02949,LSL,Laxmi Sunrise Bank Limited,141,3,Arun Securities (PVT) Ltd.,42,Sani Securities Company Ltd.,3000,251.0,753000.0,199220141
2026092201000009,2026-09-22,2026-09-22T10:46:00.034309,KBL,Kumari Bank Limited,142,57,Aryatara Investment & Securities,52,Sundhara Securities Limited,55,228.0,12540.0,199220144
2026092201000010,2026-09-22,2026-09-22T10:46:00.0344,KBL,Kumari Bank Limited,142,57,Aryatara Investment & Securities,22,Siprabi Securities Pvt. Ltd.,20,228.0,4560.0,199220146
2026092201000011,2026-09-22,2026-09-22T10:46:00.034446,KBL,Kumari Bank Limited,142,57,Aryatara Investment & Securities,57,Aryatara Investment & Securities,25,228.0,5700.0,199220149
2026092201000012,2026-09-22,2026-09-22T10:46:00.03452,KBL,Kumari Bank Limited,142,44,Dynamic Money Managers Securities Pvt. Ltd.,57,Aryatara Investment & Securities,35,228.0,7980.0,199220151
2026092201000013,2026-09-22,2026-09-22T10:46:00.042737,SBL,Siddhartha Bank Limited,145,45,Imperial Securities Company Pvt. Ltd.,49,Online Securities Pvt. Ltd.,40,447.5,17900.0,199220180
2026092201000014,2026-09-22,2026-09-22T10:46:00.046213,SANIMA,Sanima Bank Limited,171,87,S.P.S.A. Securities Limited,14,Nepal Stock House (PVT) Ltd.,10,380.0,3800.0,199220194
2026092201000015,2026-09-22,2026-09-22T10:46:00.066428,GBIME,Global IME Bank Limited,341,45,Imperial Securities Company Pvt. Ltd.,74,KALASH STOCK MARKET PVT. LTD.,10,252.0,2520.0,199220213
2026092201000016,2026-09-22,2026-09-22T10:46:00.066503,GBIME,Global IME Bank Limited,341,46,Kalika Securities Pvt. Ltd.,74,KALASH STOCK MARKET PVT. LTD.,18,252.0,4536.0,199220215
2026092201000017,2026-09-22,2026-09-22T10:46:00.06658,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,74,KALASH STOCK MARKET PVT. LTD.,172,252.0,43344.0,199220216
2026092201000018,2026-09-22,2026-09-22T10:46:00.066618,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,42,Sani Securities Company Ltd.,100,252.0,25200.0,199220220
2026092201000019,2026-09-22,2026-09-22T10:46:00.066658,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,75,N.I.M.B. Stock Markets Limited,100,252.0,25200.0,199220223
2026092201000020,2026-09-22,2026-09-22T10:46:00.066695,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,42,Sani Securities Company Ltd.,100,252.0,25200.0,199220227
2026092201000021,2026-09-22,2026-09-22T10:46:00.072109,CZBIL,Citizens Bank International Limited,348,52,Sundhara Securities Limited,96,Himalayan Securities Limited,10,202.3,2023.0,199220244
2026092201000022,2026-09-22,2026-09-22T10:46:00.079226,ADBL,Agricultural Development Bank Limited,397,42,Sani Securities Company Ltd.,47,Neev Securities Pvt. Ltd.,10,316.0,3160.0,199220255
2026092201000023,2026-09-22,2026-09-22T10:46:00.084582,NBL,Nepal Bank Limited,517,87,S.P.S.A. Securities Limited,29,Trisul Securities & Invt. Ltd.,10,297.0,2970.0,199220261
2026092201000024,2026-09-22,2026-09-22T10:46:00.084639,NBL,Nepal Bank Limited,517,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,29,Trisul Securities & Invt. Ltd.,10,297.0,2970.0,199220263
2026092201000025,2026-09-22,2026-09-22T10:46:00.084689,NBL,Nepal Bank Limited,517,77,Nabil Stock Dealer Ltd.,29,Trisul Securities & Invt. Ltd.,80,297.0,23760.0,199220264
2026092201000026,2026-09-22,2026-09-22T10:46:00.084731,NBL,Nepal Bank Limited,517,77,Nabil Stock Dealer Ltd.,49,Online Securities Pvt. Ltd.,30,297.0,8910.0,199220266
2026092201000027,2026-09-22,2026-09-22T10:46:00.084764,NBL,Nepal Bank Limited,517,77,Nabil Stock Dealer Ltd.,29,Trisul Securities & Invt. Ltd.,100,297.0,29700.0,199220268
2026092201000028,2026-09-22,2026-09-22T10:46:00.179419,SNLI,Sun Nepal Life Insurance Company Limited,9201,81,Aakashbhairab Securities Ltd.,17,ABC Securities Private Limited,10,439.9,4399.0,199220303
2026092201000029,2026-09-22,2026-09-22T10:46:00.204476,NMIC,Nepal Micro Insurance Company Limited,9250,35,Kohinoor Investment & Securities Pvt. Ltd.,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,850.0,8500.0,199220411
2026092201000030,2026-09-22,2026-09-22T10:46:00.204509,NMIC,Nepal Micro Insurance Company Limited,9250,35,Kohinoor Investment & Securities Pvt. Ltd.,49,Online Securities Pvt. Ltd.,10,850.0,8500.0,199220419
2026092201000031,2026-09-22,2026-09-22T10:46:00.206809,SEF2,Siddhartha Equity Fund 2,9348,17,ABC Securities Private Limited,32,Premier Securities Company Ltd.,100,9.0,900.0,199220435
2026092201000032,2026-09-22,2026-09-22T10:46:00.210616,RSY2,Reliable Samriddhi Yojana -2,9351,17,ABC Securities Private Limited,32,Premier Securities Company Ltd.,100,9.0,900.0,199220444
2026092201000033,2026-09-22,2026-09-22T10:46:00.212807,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,65,Sharepro Securities Private Limited,10,695.0,6950.0,199220455
2026092201000034,2026-09-22,2026-09-22T10:46:00.212847,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,695.0,6950.0,199220462
2026092201000035,2026-09-22,2026-09-22T10:46:00.212873,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,43,South Asian Bulls Pvt. Ltd.,10,695.0,6950.0,199220469
2026092201000036,2026-09-22,2026-09-22T10:46:00.212898,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220472
2026092201000037,2026-09-22,2026-09-22T10:46:00.212956,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220474
2026092201000038,2026-09-22,2026-09-22T10:46:00.219335,PBD93,"6.25% Prime Bank Debenture, 2093",9354,35,Kohinoor Investment & Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,25,996.0,24900.0,199220486
2026092201000039,2026-09-22,2026-09-22T10:46:00.301414,LSL,Laxmi Sunrise Bank Limited,141,3,Arun Securities (PVT) Ltd.,45,Imperial Securities Company Pvt. Ltd.,100,249.0,24900.0,199220339
2026092201000040,2026-09-22,2026-09-22T10:46:00.302226,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,8111,68,Elite Stock House Limited,74,KALASH STOCK MARKET PVT. LTD.,10,192.0,1920.0,199220346
2026092201000041,2026-09-22,2026-09-22T10:46:00.304067,PCBL,Prime Commercial Bank Ltd.,357,35,Kohinoor Investment & Securities Pvt. Ltd.,91,Citizens Share Broker Limited,10,259.0,2590.0,199220353
2026092201000042,2026-09-22,2026-09-22T10:46:00.304257,LSL,Laxmi Sunrise Bank Limited,141,3,Arun Securities (PVT) Ltd.,49,Online Securities Pvt. Ltd.,19,249.0,4731.0,199220354
2026092201000043,2026-09-22,2026-09-22T11:00:00.164145,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,39,Sumeru Securities Pvt. Ltd.,10,695.0,6950.0,199220556
2026092201000044,2026-09-22,2026-09-22T11:00:00.622357,HBL,Himalayan Bank Limited,134,1,Kumari Securities Private Limited,76,Machhapuchchhre Securities Limited,10,198.0,1980.0,199220558
2026092201000045,2026-09-22,2026-09-22T11:00:00.695289,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220560
2026092201000046,2026-09-22,2026-09-22T11:00:00.818622,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220562
2026092201000047,2026-09-22,2026-09-22T11:00:00.874216,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220572
2026092201000048,2026-09-22,2026-09-22T11:00:00.935222,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220576
2026092201000049,2026-09-22,2026-09-22T11:00:01.450337,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220588
2026092201000050,2026-09-22,2026-09-22T11:00:01.641279,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220590
2026092201000051,2026-09-22,2026-09-22T11:00:02.018162,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220592
2026092201000052,2026-09-22,2026-09-22T11:00:02.392765,MEPDL,Mount Everest Power Development Limited,9352,44,Dynamic Money Managers Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199220594
2026092201000053,2026-09-22,2026-09-22T11:00:06.510174,GBIME,Global IME Bank Limited,341,14,Nepal Stock House (PVT) Ltd.,57,Aryatara Investment & Securities,4700,253.0,1189100.0,199220626
2026092201000054,2026-09-22,2026-09-22T11:00:06.51031,GBIME,Global IME Bank Limited,341,14,Nepal Stock House (PVT) Ltd.,42,Sani Securities Company Ltd.,100,253.0,25300.0,199220629
2026092201000055,2026-09-22,2026-09-22T11:00:07.629735,NIMB,Nepal Investment Mega Bank Limited,132,58,Naasa Securities Co. Ltd.,50,Cristal Kanchanjanga Securites Pvt. Ltd.,10,198.0,1980.0,199220633
2026092201000056,2026-09-22,2026-09-22T11:00:08.823569,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,17,ABC Securities Private Limited,5736,252.0,1445472.0,199220636
2026092201000057,2026-09-22,2026-09-22T11:00:11.347636,HBL,Himalayan Bank Limited,134,1,Kumari Securities Private Limited,58,Naasa Securities Co. Ltd.,10,198.0,1980.0,199220644
2026092201000058,2026-09-22,2026-09-22T11:00:11.417952,HBL,Himalayan Bank Limited,134,1,Kumari Securities Private Limited,58,Naasa Securities Co. Ltd.,10,198.0,1980.0,199220646
2026092201000059,2026-09-22,2026-09-22T11:00:11.504185,HBL,Himalayan Bank Limited,134,1,Kumari Securities Private Limited,58,Naasa Securities Co. Ltd.,10,198.0,1980.0,199220648
