contractId,businessDate,tradeTime,stockSymbol,securityName,stockId,buyerMemberId,buyerBrokerName,sellerMemberId,sellerBrokerName,contractQuantity,contractRate,contractAmount,tradeBookId
2026091801000001,2026-09-18,2026-09-18T10:46:00.007755,NABIL,Nabil Bank Limited,131,67,Property Wiard Limited,54,Sewa Securities Pvt. Ltd.,10,561.0,5610.0,199091963
2026091801000002,2026-09-18,2026-09-18T10:46:00.007897,NABIL,Nabil Bank Limited,131,57,Aryatara Investment & Securities,54,Sewa Securities Pvt. Ltd.,10,561.0,5610.0,199091965
2026091801000003,2026-09-18,2026-09-18T10:46:00.020657,NIMB,Nepal Investment Mega Bank Limited,132,35,Kohinoor Investment & Securities Pvt. Ltd.,62,Capital Max Securities Ltd,10,191.0,1910.0,199091971
2026091801000004,2026-09-18,2026-09-18T10:46:00.028123,HBL,Himalayan Bank Limited,134,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,39,Sumeru Securities Pvt. Ltd.,10,194.0,1940.0,199091974
2026091801000005,2026-09-18,2026-09-18T10:46:00.040767,LSL,Laxmi Sunrise Bank Limited,141,49,Online Securities Pvt. Ltd.,14,Nepal Stock House (PVT) Ltd.,15,250.4,3756.0,199091983
2026091801000006,2026-09-18,2026-09-18T10:46:00.043558,KBL,Kumari Bank Limited,142,52,Sundhara Securities Limited,42,Sani Securities Company Ltd.,10,220.0,2200.0,199091985
2026091801000007,2026-09-18,2026-09-18T10:46:00.048482,SBL,Siddhartha Bank Limited,145,62,Capital Max Securities Ltd,50,Cristal Kanchanjanga Securites Pvt. Ltd.,100,450.0,45000.0,199091991
2026091801000008,2026-09-18,2026-09-18T10:46:00.048516,SBL,Siddhartha Bank Limited,145,6,Agrawal Securities (PVT) Ltd.,50,Cristal Kanchanjanga Securites Pvt. Ltd.,100,450.0,45000.0,199091992
2026091801000009,2026-09-18,2026-09-18T10:46:00.051801,SANIMA,Sanima Bank Limited,171,17,ABC Securities Private Limited,41,Linch Stock Market Ltd.,10,362.2,3622.0,199091996
2026091801000010,2026-09-18,2026-09-18T10:46:00.062011,NMB,NMB Bank Limited,238,28,Shree Krishna Securities Ltd.,39,Sumeru Securities Pvt. Ltd.,1257,251.0,315507.0,199091998
2026091801000011,2026-09-18,2026-09-18T10:46:00.065381,PRVU,Prabhu  Bank Limited,255,57,Aryatara Investment & Securities,45,Imperial Securities Company Pvt. Ltd.,10,188.0,1880.0,199092001
2026091801000012,2026-09-18,2026-09-18T10:46:00.065406,PRVU,Prabhu  Bank Limited,255,34,Vision Securities Pvt. Ltd,45,Imperial Securities Company Pvt. Ltd.,105,188.0,19740.0,199092002
2026091801000013,2026-09-18,2026-09-18T10:46:00.069198,GBIME,Global IME Bank Limited,341,14,Nepal Stock House (PVT) Ltd.,17,ABC Securities Private Limited,110,260.0,28600.0,199092005
2026091801000014,2026-09-18,2026-09-18T10:46:00.069241,GBIME,Global IME Bank Limited,341,82,N.M.B. SECURITIES LIMITED,17,ABC Securities Private Limited,10,260.0,2600.0,199092007
2026091801000015,2026-09-18,2026-09-18T10:46:00.069263,GBIME,Global IME Bank Limited,341,47,Neev Securities Pvt. Ltd.,17,ABC Securities Private Limited,50,260.0,13000.0,199092009
2026091801000016,2026-09-18,2026-09-18T10:46:00.073724,CZBIL,Citizens Bank International Limited,348,96,Himalayan Securities Limited,48,Trishakti Securities Public Limited,18,218.1,3925.8,199092019
2026091801000017,2026-09-18,2026-09-18T10:46:00.083988,NBL,Nepal Bank Limited,517,96,Himalayan Securities Limited,57,Aryatara Investment & Securities,10,302.9,3029.0,199092027
2026091801000018,2026-09-18,2026-09-18T10:46:00.167431,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,8111,48,Trishakti Securities Public Limited,32,Premier Securities Company Ltd.,250,194.0,48500.0,199092032
2026091801000019,2026-09-18,2026-09-18T10:46:00.179214,KDL,Kalinchowk Darshan Limited,9151,34,Vision Securities Pvt. Ltd,62,Capital Max Securities Ltd,10,645.5,6455.0,199092041
2026091801000020,2026-09-18,2026-09-18T10:46:00.183543,CITY,City Hotel Limited,9173,45,Imperial Securities Company Pvt. Ltd.,11,Malla & Malla Stock Broking Company Pvt. Limited,10,332.0,3320.0,199092042
2026091801000021,2026-09-18,2026-09-18T10:46:00.20603,NICGF2,NIC ASIA Growth Fund-2,9236,10,Pragyan Securities (PVT) Ltd.,34,Vision Securities Pvt. Ltd,100,8.14,814.0,199092062
2026091801000022,2026-09-18,2026-09-18T10:46:00.233229,SAPIL,Sarvottam Paints Industries Limited,9353,48,Trishakti Securities Public Limited,48,Trishakti Securities Public Limited,10,1449.9,14499.0,199092072
2026091801000023,2026-09-18,2026-09-18T10:46:00.233267,SAPIL,Sarvottam Paints Industries Limited,9353,18,Sagarmatha Securities Private Limited,13,Thrive Brokerage House Pvt. Ltd,20,1449.9,28998.0,199092074
2026091801000024,2026-09-18,2026-09-18T10:46:00.233297,SAPIL,Sarvottam Paints Industries Limited,9353,49,Online Securities Pvt. Ltd.,13,Thrive Brokerage House Pvt. Ltd,10,1449.9,14499.0,199092077
2026091801000025,2026-09-18,2026-09-18T10:46:00.235628,PBD93,"6.25% Prime Bank Debenture, 2093",9354,35,Kohinoor Investment & Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,25,1028.0,25700.0,199092080
2026091801000026,2026-09-18,2026-09-18T10:46:00.313772,SBL,Siddhartha Bank Limited,145,6,Agrawal Securities (PVT) Ltd.,34,Vision Securities Pvt. Ltd,100,450.0,45000.0,199092108
2026091801000027,2026-09-18,2026-09-18T10:46:00.314119,BNT,Bottlers Nepal (Terai) Limited,213,28,Shree Krishna Securities Ltd.,33,Dakshinkali Investment & Securities Pvt. Ltd.,10,12200.0,122000.0,199092110
2026091801000028,2026-09-18,2026-09-18T11:00:09.74192,PRVU,Prabhu  Bank Limited,255,57,Aryatara Investment & Securities,35,Kohinoor Investment & Securities Pvt. Ltd.,10,189.5,1895.0,199092239
2026091801000029,2026-09-18,2026-09-18T11:00:11.718764,KBL,Kumari Bank Limited,142,58,Naasa Securities Co. Ltd.,42,Sani Securities Company Ltd.,10,220.0,2200.0,199092245
2026091801000030,2026-09-18,2026-09-18T11:00:18.362798,SBL,Siddhartha Bank Limited,145,58,Naasa Securities Co. Ltd.,28,Shree Krishna Securities Ltd.,10,450.1,4501.0,199092301
2026091801000031,2026-09-18,2026-09-18T11:00:18.363019,SBL,Siddhartha Bank Limited,145,6,Agrawal Securities (PVT) Ltd.,28,Shree Krishna Securities Ltd.,290,450.0,130500.0,199092302
2026091801000032,2026-09-18,2026-09-18T11:00:24.04222,CZBIL,Citizens Bank International Limited,348,6,Agrawal Securities (PVT) Ltd.,96,Himalayan Securities Limited,10,205.0,2050.0,199092322
2026091801000033,2026-09-18,2026-09-18T11:00:33.992074,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,35,Kohinoor Investment & Securities Pvt. Ltd.,10,690.0,6900.0,199092356
2026091801000034,2026-09-18,2026-09-18T11:00:33.992218,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,49,Online Securities Pvt. Ltd.,10,690.0,6900.0,199092358
2026091801000035,2026-09-18,2026-09-18T11:00:33.992315,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,45,Imperial Securities Company Pvt. Ltd.,10,693.0,6930.0,199092360
2026091801000036,2026-09-18,2026-09-18T11:00:33.99239,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,57,Aryatara Investment & Securities,80,693.0,55440.0,199092362
2026091801000037,2026-09-18,2026-09-18T11:00:33.99249,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,42,Sani Securities Company Ltd.,10,693.8,6938.0,199092364
2026091801000038,2026-09-18,2026-09-18T11:00:33.992571,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,58,Naasa Securities Co. Ltd.,10,694.0,6940.0,199092366
2026091801000039,2026-09-18,2026-09-18T11:00:33.992644,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,58,Naasa Securities Co. Ltd.,30,694.9,20847.0,199092368
2026091801000040,2026-09-18,2026-09-18T11:00:33.992744,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,58,Naasa Securities Co. Ltd.,10,695.0,6950.0,199092370
2026091801000041,2026-09-18,2026-09-18T11:00:33.992817,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,57,Aryatara Investment & Securities,100,699.9,69990.0,199092372
2026091801000042,2026-09-18,2026-09-18T11:00:33.992887,MEPDL,Mount Everest Power Development Limited,9352,34,Vision Securities Pvt. Ltd,70,Infinity Securities Limited,230,699.9,160977.0,199092375
2026091801000043,2026-09-18,2026-09-18T11:00:38.969027,SNLI,Sun Nepal Life Insurance Company Limited,9201,58,Naasa Securities Co. Ltd.,21,Midas Stock Broking Company Private Limited,10,408.0,4080.0,199092393
2026091801000044,2026-09-18,2026-09-18T11:00:39.689338,EBL,Everest Bank Limited,137,58,Naasa Securities Co. Ltd.,14,Nepal Stock House (PVT) Ltd.,25,691.0,17275.0,199092397
2026091801000045,2026-09-18,2026-09-18T11:00:43.484519,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,8111,48,Trishakti Securities Public Limited,42,Sani Securities Company Ltd.,500,194.0,97000.0,199092410
2026091801000046,2026-09-18,2026-09-18T11:00:43.654966,LSL,Laxmi Sunrise Bank Limited,141,49,Online Securities Pvt. Ltd.,44,Dynamic Money Managers Securities Pvt. Ltd.,10,242.9,2429.0,199092413
2026091801000047,2026-09-18,2026-09-18T11:00:44.225665,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,8111,48,Trishakti Securities Public Limited,16,Primo Securities (PVT) Ltd.,2142,194.0,415548.0,199092414
2026091801000048,2026-09-18,2026-09-18T11:00:46.098032,NICA,NIC Asia Bank Ltd.,139,7,J.F. Securites (PVT) Ltd.,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,300,324.0,97200.0,199092418
2026091801000049,2026-09-18,2026-09-18T11:00:49.188254,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,8111,48,Trishakti Securities Public Limited,58,Naasa Securities Co. Ltd.,230,194.0,44620.0,199092422
2026091801000050,2026-09-18,2026-09-18T11:00:49.285345,SANIMA,Sanima Bank Limited,171,17,ABC Securities Private Limited,65,Sharepro Securities Private Limited,20,364.0,7280.0,199092425
