contractId,businessDate,tradeTime,stockSymbol,securityName,stockId,buyerMemberId,buyerBrokerName,sellerMemberId,sellerBrokerName,contractQuantity,contractRate,contractAmount,tradeBookId
2026090301000001,2026-09-03,2026-09-03T10:46:00.005642,NABIL,Nabil Bank Limited,131,77,Nabil Stock Dealer Ltd.,35,Kohinoor Investment & Securities Pvt. Ltd.,200,540.0,108000.0,198149870
2026090301000002,2026-09-03,2026-09-03T10:46:00.005794,NABIL,Nabil Bank Limited,131,49,Online Securities Pvt. Ltd.,35,Kohinoor Investment & Securities Pvt. Ltd.,10,540.0,5400.0,198149872
2026090301000003,2026-09-03,2026-09-03T10:46:00.040391,CZBIL,Citizens Bank International Limited,348,96,Himalayan Securities Limited,43,South Asian Bulls Pvt. Ltd.,10,207.0,2070.0,198149894
2026090301000004,2026-09-03,2026-09-03T10:46:00.097103,CITY,City Hotel Limited,9173,49,Online Securities Pvt. Ltd.,32,Premier Securities Company Ltd.,18,345.0,6210.0,198149911
2026090301000005,2026-09-03,2026-09-03T10:46:00.104043,SNLI,Sun Nepal Life Insurance Company Limited,9201,7,J.F. Securites (PVT) Ltd.,57,Aryatara Investment & Securities,17,380.0,6460.0,198149915
2026090301000006,2026-09-03,2026-09-03T10:46:00.140326,MEPDL,Mount Everest Power Development Limited,9352,45,Imperial Securities Company Pvt. Ltd.,43,South Asian Bulls Pvt. Ltd.,10,618.4,6184.0,198149921
2026090301000007,2026-09-03,2026-09-03T10:46:00.144273,SAPIL,Sarvottam Paints Industries Limited,9353,45,Imperial Securities Company Pvt. Ltd.,7,J.F. Securites (PVT) Ltd.,10,1220.0,12200.0,198149927
2026090301000008,2026-09-03,2026-09-03T10:46:00.144322,SAPIL,Sarvottam Paints Industries Limited,9353,49,Online Securities Pvt. Ltd.,35,Kohinoor Investment & Securities Pvt. Ltd.,10,1220.0,12200.0,198149929
2026090301000009,2026-09-03,2026-09-03T10:46:00.240138,NBL,Nepal Bank Limited,517,13,Thrive Brokerage House Pvt. Ltd,29,Trisul Securities & Invt. Ltd.,10,275.1,2751.0,198149958
2026090301000010,2026-09-03,2026-09-03T11:00:02.154026,NABIL,Nabil Bank Limited,131,35,Kohinoor Investment & Securities Pvt. Ltd.,42,Sani Securities Company Ltd.,10,538.0,5380.0,198150058
2026090301000011,2026-09-03,2026-09-03T11:00:02.154125,NABIL,Nabil Bank Limited,131,49,Online Securities Pvt. Ltd.,42,Sani Securities Company Ltd.,27,537.5,14512.5,198150060
2026090301000012,2026-09-03,2026-09-03T11:00:02.15416,NABIL,Nabil Bank Limited,131,13,Thrive Brokerage House Pvt. Ltd,42,Sani Securities Company Ltd.,200,537.5,107500.0,198150062
