contractId,businessDate,tradeTime,stockSymbol,securityName,stockId,buyerMemberId,buyerBrokerName,sellerMemberId,sellerBrokerName,contractQuantity,contractRate,contractAmount,tradeBookId
2026090201000001,2026-09-02,2026-09-02T10:46:00.015186,KBL,Kumari Bank Limited,142,7,J.F. Securites (PVT) Ltd.,57,Aryatara Investment & Securities,10,221.0,2210.0,198070530
2026090201000002,2026-09-02,2026-09-02T10:46:00.023374,NMB,NMB Bank Limited,238,7,J.F. Securites (PVT) Ltd.,45,Imperial Securities Company Pvt. Ltd.,10,235.0,2350.0,198070534
2026090201000003,2026-09-02,2026-09-02T10:46:00.023411,NMB,NMB Bank Limited,238,58,Naasa Securities Co. Ltd.,45,Imperial Securities Company Pvt. Ltd.,40,235.0,9400.0,198070535
2026090201000004,2026-09-02,2026-09-02T10:46:00.027017,GBIME,Global IME Bank Limited,341,36,Secured Securities Ltd.,49,Online Securities Pvt. Ltd.,20,245.0,4900.0,198070543
2026090201000005,2026-09-02,2026-09-02T10:46:00.02705,GBIME,Global IME Bank Limited,341,67,Property Wiard Limited,45,Imperial Securities Company Pvt. Ltd.,60,245.0,14700.0,198070545
2026090201000006,2026-09-02,2026-09-02T10:46:00.03192,ADBL,Agricultural Development Bank Limited,397,35,Kohinoor Investment & Securities Pvt. Ltd.,43,South Asian Bulls Pvt. Ltd.,40,311.8,12472.0,198070550
2026090201000007,2026-09-02,2026-09-02T10:46:00.08698,EBLD85,10.50% Everest Bank Limited Debenture 2085,8119,49,Online Securities Pvt. Ltd.,100,Sunrise Securities Limited,2,1090.0,2180.0,198070555
2026090201000008,2026-09-02,2026-09-02T10:46:00.119655,MEPDL,Mount Everest Power Development Limited,9352,56,Sri Hari Securities Pvt. Ltd.,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,581.4,5814.0,198070561
2026090201000009,2026-09-02,2026-09-02T10:46:00.11968,MEPDL,Mount Everest Power Development Limited,9352,56,Sri Hari Securities Pvt. Ltd.,59,Deevyaa Securities & Stock House Pvt. Ltd,10,581.4,5814.0,198070563
2026090201000010,2026-09-02,2026-09-02T11:00:03.312149,NIMB,Nepal Investment Mega Bank Limited,132,22,Siprabi Securities Pvt. Ltd.,45,Imperial Securities Company Pvt. Ltd.,76,181.5,13794.0,198070644
