contractId,businessDate,tradeTime,stockSymbol,securityName,stockId,buyerMemberId,buyerBrokerName,sellerMemberId,sellerBrokerName,contractQuantity,contractRate,contractAmount,tradeBookId
2026090101000001,2026-09-01,2026-09-01T10:46:00.002596,NABIL,Nabil Bank Limited,131,77,Nabil Stock Dealer Ltd.,19,Nepal Investment And Securities Trading Private Limited,100,535.0,53500.0,197973842
2026090101000002,2026-09-01,2026-09-01T10:46:00.002636,NABIL,Nabil Bank Limited,131,41,Linch Stock Market Ltd.,19,Nepal Investment And Securities Trading Private Limited,10,535.0,5350.0,197973844
2026090101000003,2026-09-01,2026-09-01T10:46:00.002659,NABIL,Nabil Bank Limited,131,47,Neev Securities Pvt. Ltd.,19,Nepal Investment And Securities Trading Private Limited,10,535.0,5350.0,197973846
2026090101000004,2026-09-01,2026-09-01T10:46:00.016054,NICA,NIC Asia Bank Ltd.,139,22,Siprabi Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,1175,306.0,359550.0,197973870
2026090101000005,2026-09-01,2026-09-01T10:46:00.018841,LSL,Laxmi Sunrise Bank Limited,141,49,Online Securities Pvt. Ltd.,1,Kumari Securities Private Limited,20,217.5,4350.0,197973872
2026090101000006,2026-09-01,2026-09-01T10:46:00.0204,KBL,Kumari Bank Limited,142,7,J.F. Securites (PVT) Ltd.,25,Sweta Securities Private Limited,10,221.0,2210.0,197973874
2026090101000007,2026-09-01,2026-09-01T10:46:00.022355,SBL,Siddhartha Bank Limited,145,77,Nabil Stock Dealer Ltd.,17,ABC Securities Private Limited,30,411.0,12330.0,197973876
2026090101000008,2026-09-01,2026-09-01T10:46:00.028569,NMB,NMB Bank Limited,238,7,J.F. Securites (PVT) Ltd.,47,Neev Securities Pvt. Ltd.,10,247.0,2470.0,197973898
2026090101000009,2026-09-01,2026-09-01T10:46:00.03218,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,49,Online Securities Pvt. Ltd.,300,240.0,72000.0,197973908
2026090101000010,2026-09-01,2026-09-01T10:46:00.033654,CZBIL,Citizens Bank International Limited,348,96,Himalayan Securities Limited,48,Trishakti Securities Public Limited,10,201.6,2016.0,197973912
2026090101000011,2026-09-01,2026-09-01T10:46:00.036433,ADBL,Agricultural Development Bank Limited,397,14,Nepal Stock House (PVT) Ltd.,34,Vision Securities Pvt. Ltd,20,295.5,5910.0,197973914
2026090101000012,2026-09-01,2026-09-01T10:46:00.116826,GSY,Garima Samriddhi Yojana,9248,39,Sumeru Securities Pvt. Ltd.,19,Nepal Investment And Securities Trading Private Limited,100,8.5,850.0,197973932
2026090101000013,2026-09-01,2026-09-01T10:46:00.128522,SAPIL,Sarvottam Paints Industries Limited,9353,52,Sundhara Securities Limited,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,1250.0,12500.0,197973945
2026090101000014,2026-09-01,2026-09-01T10:46:00.128577,SAPIL,Sarvottam Paints Industries Limited,9353,6,Agrawal Securities (PVT) Ltd.,43,South Asian Bulls Pvt. Ltd.,10,1250.0,12500.0,197973949
2026090101000015,2026-09-01,2026-09-01T10:46:00.12862,SAPIL,Sarvottam Paints Industries Limited,9353,34,Vision Securities Pvt. Ltd,77,Nabil Stock Dealer Ltd.,10,1250.0,12500.0,197973951
2026090101000016,2026-09-01,2026-09-01T10:46:00.1993,NABIL,Nabil Bank Limited,131,59,Deevyaa Securities & Stock House Pvt. Ltd,19,Nepal Investment And Securities Trading Private Limited,10,535.0,5350.0,197973967
2026090101000017,2026-09-01,2026-09-01T10:46:00.218244,SAEF2,Sanima Equity Fund-2,9349,17,ABC Securities Private Limited,49,Online Securities Pvt. Ltd.,100,8.8,880.0,197974041
2026090101000018,2026-09-01,2026-09-01T10:46:00.219487,NABIL,Nabil Bank Limited,131,58,Naasa Securities Co. Ltd.,19,Nepal Investment And Securities Trading Private Limited,50,535.0,26750.0,197974046
2026090101000019,2026-09-01,2026-09-01T10:46:00.220097,NABIL,Nabil Bank Limited,131,58,Naasa Securities Co. Ltd.,19,Nepal Investment And Securities Trading Private Limited,20,535.0,10700.0,197974049
2026090101000020,2026-09-01,2026-09-01T10:46:00.220239,SAPIL,Sarvottam Paints Industries Limited,9353,58,Naasa Securities Co. Ltd.,47,Neev Securities Pvt. Ltd.,10,1250.0,12500.0,197974051
2026090101000021,2026-09-01,2026-09-01T10:46:00.220354,SAPIL,Sarvottam Paints Industries Limited,9353,58,Naasa Securities Co. Ltd.,42,Sani Securities Company Ltd.,10,1250.0,12500.0,197974053
2026090101000022,2026-09-01,2026-09-01T10:46:00.220445,SAPIL,Sarvottam Paints Industries Limited,9353,58,Naasa Securities Co. Ltd.,42,Sani Securities Company Ltd.,10,1250.0,12500.0,197974057
2026090101000023,2026-09-01,2026-09-01T10:46:00.220544,SAPIL,Sarvottam Paints Industries Limited,9353,58,Naasa Securities Co. Ltd.,58,Naasa Securities Co. Ltd.,10,1250.0,12500.0,197974059
2026090101000024,2026-09-01,2026-09-01T10:46:00.220625,SAPIL,Sarvottam Paints Industries Limited,9353,58,Naasa Securities Co. Ltd.,58,Naasa Securities Co. Ltd.,10,1250.0,12500.0,197974062
2026090101000025,2026-09-01,2026-09-01T11:00:06.227328,SAPIL,Sarvottam Paints Industries Limited,9353,58,Naasa Securities Co. Ltd.,58,Naasa Securities Co. Ltd.,10,1250.0,12500.0,197974108
2026090101000026,2026-09-01,2026-09-01T11:00:07.702113,SAPIL,Sarvottam Paints Industries Limited,9353,58,Naasa Securities Co. Ltd.,58,Naasa Securities Co. Ltd.,10,1250.0,12500.0,197974113
2026090101000027,2026-09-01,2026-09-01T11:00:07.702267,SAPIL,Sarvottam Paints Industries Limited,9353,58,Naasa Securities Co. Ltd.,58,Naasa Securities Co. Ltd.,10,1250.0,12500.0,197974116
2026090101000028,2026-09-01,2026-09-01T11:00:14.012071,NABIL,Nabil Bank Limited,131,58,Naasa Securities Co. Ltd.,58,Naasa Securities Co. Ltd.,10,535.0,5350.0,197974141
2026090101000029,2026-09-01,2026-09-01T11:00:17.496204,SAPIL,Sarvottam Paints Industries Limited,9353,52,Sundhara Securities Limited,35,Kohinoor Investment & Securities Pvt. Ltd.,10,1244.0,12440.0,197974173
2026090101000030,2026-09-01,2026-09-01T11:00:17.877112,SAPIL,Sarvottam Paints Industries Limited,9353,52,Sundhara Securities Limited,35,Kohinoor Investment & Securities Pvt. Ltd.,10,1244.0,12440.0,197974179
2026090101000031,2026-09-01,2026-09-01T11:00:18.313838,SAPIL,Sarvottam Paints Industries Limited,9353,52,Sundhara Securities Limited,58,Naasa Securities Co. Ltd.,10,1244.0,12440.0,197974181
2026090101000032,2026-09-01,2026-09-01T11:00:20.317762,SAPIL,Sarvottam Paints Industries Limited,9353,52,Sundhara Securities Limited,58,Naasa Securities Co. Ltd.,10,1244.0,12440.0,197974187
2026090101000033,2026-09-01,2026-09-01T11:00:21.429248,SAPIL,Sarvottam Paints Industries Limited,9353,52,Sundhara Securities Limited,90,Sajilo Broker Limited,10,1244.0,12440.0,197974189
2026090101000034,2026-09-01,2026-09-01T11:00:22.05666,SAPIL,Sarvottam Paints Industries Limited,9353,52,Sundhara Securities Limited,58,Naasa Securities Co. Ltd.,10,1244.0,12440.0,197974191
