contractId,businessDate,tradeTime,stockSymbol,securityName,stockId,buyerMemberId,buyerBrokerName,sellerMemberId,sellerBrokerName,contractQuantity,contractRate,contractAmount,tradeBookId
2026082701000001,2026-08-27,2026-08-27T10:46:00.007636,NABIL,Nabil Bank Limited,131,65,Sharepro Securities Private Limited,33,Dakshinkali Investment & Securities Pvt. Ltd.,10,535.0,5350.0,197732418
2026082701000002,2026-08-27,2026-08-27T10:46:00.007808,NABIL,Nabil Bank Limited,131,52,Sundhara Securities Limited,33,Dakshinkali Investment & Securities Pvt. Ltd.,70,535.0,37450.0,197732420
2026082701000003,2026-08-27,2026-08-27T10:46:00.015969,NIMB,Nepal Investment Mega Bank Limited,132,7,J.F. Securites (PVT) Ltd.,42,Sani Securities Company Ltd.,10,183.0,1830.0,197732432
2026082701000004,2026-08-27,2026-08-27T10:46:00.016002,NIMB,Nepal Investment Mega Bank Limited,132,45,Imperial Securities Company Pvt. Ltd.,42,Sani Securities Company Ltd.,10,183.0,1830.0,197732436
2026082701000005,2026-08-27,2026-08-27T10:46:00.022528,EBL,Everest Bank Limited,137,58,Naasa Securities Co. Ltd.,89,Global IME Securities Limited,20,734.0,14680.0,197732443
2026082701000006,2026-08-27,2026-08-27T10:46:00.037608,PRVU,Prabhu  Bank Limited,255,75,N.I.M.B. Stock Markets Limited,45,Imperial Securities Company Pvt. Ltd.,100,175.0,17500.0,197732464
2026082701000007,2026-08-27,2026-08-27T10:46:00.120156,SARBTM,Sarbottam Cement Limited,9242,5,Market Securities & Exchange (PVT) Ltd.,42,Sani Securities Company Ltd.,15,795.6,11934.0,197732486
2026082701000008,2026-08-27,2026-08-27T10:46:00.120191,SARBTM,Sarbottam Cement Limited,9242,5,Market Securities & Exchange (PVT) Ltd.,39,Sumeru Securities Pvt. Ltd.,30,795.6,23868.0,197732489
2026082701000009,2026-08-27,2026-08-27T10:46:00.13362,MEPDL,Mount Everest Power Development Limited,9352,45,Imperial Securities Company Pvt. Ltd.,41,Linch Stock Market Ltd.,10,661.2,6612.0,197732491
2026082701000010,2026-08-27,2026-08-27T10:46:00.13612,SAPIL,Sarvottam Paints Industries Limited,9353,36,Secured Securities Ltd.,56,Sri Hari Securities Pvt. Ltd.,10,1273.5,12735.0,197732493
2026082701000011,2026-08-27,2026-08-27T10:46:00.13615,SAPIL,Sarvottam Paints Industries Limited,9353,36,Secured Securities Ltd.,58,Naasa Securities Co. Ltd.,10,1273.5,12735.0,197732495
2026082701000012,2026-08-27,2026-08-27T10:46:00.136177,SAPIL,Sarvottam Paints Industries Limited,9353,36,Secured Securities Ltd.,57,Aryatara Investment & Securities,10,1273.5,12735.0,197732497
