contractId,businessDate,tradeTime,stockSymbol,securityName,stockId,buyerMemberId,buyerBrokerName,sellerMemberId,sellerBrokerName,contractQuantity,contractRate,contractAmount,tradeBookId
2026091101000001,2026-09-11,2026-09-11T10:46:00.005232,NABIL,Nabil Bank Limited,131,29,Trisul Securities & Invt. Ltd.,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,60,552.0,33120.0,198523102
2026091101000002,2026-09-11,2026-09-11T10:46:00.015604,HBL,Himalayan Bank Limited,134,56,Sri Hari Securities Pvt. Ltd.,49,Online Securities Pvt. Ltd.,10,185.2,1852.0,198523106
2026091101000003,2026-09-11,2026-09-11T10:46:00.015632,HBL,Himalayan Bank Limited,134,56,Sri Hari Securities Pvt. Ltd.,49,Online Securities Pvt. Ltd.,10,185.2,1852.0,198523108
2026091101000004,2026-09-11,2026-09-11T10:46:00.037355,NMB,NMB Bank Limited,238,36,Secured Securities Ltd.,49,Online Securities Pvt. Ltd.,10,251.3,2513.0,198523115
2026091101000005,2026-09-11,2026-09-11T10:46:00.040756,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,7,J.F. Securites (PVT) Ltd.,54,250.0,13500.0,198523117
2026091101000006,2026-09-11,2026-09-11T10:46:00.040784,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,7,J.F. Securites (PVT) Ltd.,18,250.0,4500.0,198523119
2026091101000007,2026-09-11,2026-09-11T10:46:00.040809,GBIME,Global IME Bank Limited,341,42,Sani Securities Company Ltd.,7,J.F. Securites (PVT) Ltd.,15,250.0,3750.0,198523121
2026091101000008,2026-09-11,2026-09-11T10:46:00.079139,SRLI,Sanima Reliance Life Insurance Limited,5982,51,Oxford Securities Pvt. Ltd.,42,Sani Securities Company Ltd.,20,355.0,7100.0,198522958
2026091101000009,2026-09-11,2026-09-11T10:46:00.095681,EBLD85,10.50% Everest Bank Limited Debenture 2085,8119,45,Imperial Securities Company Pvt. Ltd.,57,Aryatara Investment & Securities,25,1100.2,27505.0,198522970
2026091101000010,2026-09-11,2026-09-11T10:46:00.100041,KDL,Kalinchowk Darshan Limited,9151,51,Oxford Securities Pvt. Ltd.,29,Trisul Securities & Invt. Ltd.,10,620.0,6200.0,198522972
2026091101000011,2026-09-11,2026-09-11T10:46:00.100064,KDL,Kalinchowk Darshan Limited,9151,51,Oxford Securities Pvt. Ltd.,1,Kumari Securities Private Limited,10,620.0,6200.0,198522974
2026091101000012,2026-09-11,2026-09-11T10:46:00.110284,SIGS3,Siddhartha Investment Growth Scheme 3,9182,62,Capital Max Securities Ltd,77,Nabil Stock Dealer Ltd.,100,10.0,1000.0,198522986
2026091101000013,2026-09-11,2026-09-11T10:46:00.133029,SAPIL,Sarvottam Paints Industries Limited,9353,52,Sundhara Securities Limited,48,Trishakti Securities Public Limited,10,1204.6,12046.0,198523000
2026091101000014,2026-09-11,2026-09-11T11:00:01.407394,HBL,Himalayan Bank Limited,134,56,Sri Hari Securities Pvt. Ltd.,57,Aryatara Investment & Securities,10,186.0,1860.0,198523153
2026091101000015,2026-09-11,2026-09-11T11:00:03.444753,NBL,Nepal Bank Limited,517,41,Linch Stock Market Ltd.,49,Online Securities Pvt. Ltd.,86,276.0,23736.0,198523160
