businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-18,57,SENSIND,Sensitive Index,0,467.16,471.07,464.71,471.07,465.75,5.32,1.14,507.0,435.29,2711402613.3,7367055,19487,ALL,447841.1858
2026-09-18,58,NEPSE,NEPSE Index,0,2626.83,2647.48,2614.12,2647.22,2624.37,22.85,0.87,2960.4,2487.17,6650816487.2,17201183,63155,ALL,170555.0075
2026-09-18,62,FLOATIND,Float Index,0,180.96,182.48,180.05,182.46,180.59,1.87,1.03,204.2,170.57,6650816487.2,17201183,63155,ALL,839190.1912
2026-09-18,63,SENSFLTIND,Sensitive Float Index,0,158.03,159.32,157.07,159.32,157.42,1.9,1.2,173.41,147.6,2711402613.3,7367055,19487,ALL,527142.7323
2026-09-18,51,BANKSUBIND,Banking SubIndex,1,1498.33,1511.16,1481.83,1511.16,1487.48,23.68,1.59,1567.1,1326.12,1746090020.4,6414806,12579,Commercial Banks,77351.6855
2026-09-18,52,HOTELIND,Hotels And Tourism Index,1,7240.79,7240.79,7126.06,7210.19,7185.78,24.41,0.33,8457.99,5895.07,112300931.2,215799,1392,Hotels And Tourism,1997.6871
2026-09-18,53,OTHERSIND,Others Index,1,1837.72,1851.2,1825.83,1835.65,1837.72,-2.07,-0.11,2503.22,1777.44,55649145.2,89457,1137,Others,19544.8826
2026-09-18,54,HYDPOWIND,HydroPower Index,1,3625.43,3665.08,3621.78,3665.08,3633.99,31.09,0.85,4129.68,3147.74,2947700922.6,7754410,30084,Hydro Power,21317.6436
2026-09-18,55,DEVBANKIND,Development Bank Index,1,5452.49,5510.22,5432.67,5495.64,5473.55,22.09,0.4,6525.43,5236.74,254216082.1,533431,2764,Development Banks,3713.3472
2026-09-18,56,MANPROCIND,Manufacturing And Processing,1,10604.07,10741.4,10604.07,10712.66,10650.01,62.65,0.58,11881.08,6982.78,558436747.3,567966,5191,Manufacturing And Processing,3627.5391
2026-09-18,59,NONLIFIND,Non Life Insurance,1,9751.05,9798.18,9683.26,9798.18,9751.05,47.13,0.48,11996.38,9243.71,46967886.3,97281,759,Non Life Insurance,1923.1267
2026-09-18,60,FININD,Finance Index,1,2265.1,2277.41,2247.36,2267.53,2268.09,-0.56,-0.02,2705.17,2157.02,122548783.5,232956,1173,Finance,3235.9835
2026-09-18,61,TRDIND,Trading Index,1,3296.0,3335.21,3257.42,3310.87,3282.75,28.12,0.85,4276.68,3179.06,10456465.4,1933,75,Tradings,5613.7011
2026-09-18,64,MICRFININD,Microfinance Index,1,4521.69,4568.91,4516.54,4568.91,4534.9,34.01,0.75,5312.77,4368.48,194839061.8,211980,2385,Microfinance,7593.988
2026-09-18,65,LIFINSIND,Life Insurance,1,11782.07,11992.65,11712.83,11948.61,11768.64,179.97,1.52,13916.15,11062.72,230696779.0,446592,2955,Life Insurance,3069.8792
2026-09-18,66,MUTUALIND,Mutual Fund,1,19.62,19.68,19.45,19.67,19.64,0.03,0.19,22.33,19.44,32814682.18,3798440,525,Mutual Fund,22268.487
2026-09-18,67,INVIDX,Investment Index,1,97.15,97.97,96.3,97.54,97.45,0.09,0.1,113.77,92.82,370913662.4,634572,2661,Investment,315640.8816
