businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-07,57,SENSIND,Sensitive Index,0,454.68,455.07,450.57,453.96,449.5,4.46,0.99,507.0,435.29,1342320216.5,3282652,14391,ALL,447841.1858
2026-09-07,58,NEPSE,NEPSE Index,0,2558.37,2566.31,2542.3,2560.84,2542.77,18.07,0.71,2960.4,2487.17,3791544571.6,8014420,50077,ALL,170555.0075
2026-09-07,62,FLOATIND,Float Index,0,175.6,176.06,174.41,175.67,174.35,1.32,0.76,204.2,170.57,3791544571.6,8014420,50077,ALL,839190.1912
2026-09-07,63,SENSFLTIND,Sensitive Float Index,0,153.43,153.57,152.05,153.26,151.74,1.52,1.0,173.41,147.6,1342320216.5,3282652,14391,ALL,527142.7323
2026-09-07,51,BANKSUBIND,Banking SubIndex,1,1459.02,1460.84,1433.61,1447.14,1430.65,16.49,1.15,1567.1,1326.12,437910502.1,1472613,5507,Commercial Banks,77351.6855
2026-09-07,52,HOTELIND,Hotels And Tourism Index,1,7062.65,7114.4,7043.89,7085.7,7063.56,22.14,0.31,8457.99,5895.07,69316914.5,133270,1263,Hotels And Tourism,1997.6871
2026-09-07,53,OTHERSIND,Others Index,1,1812.56,1814.12,1793.3,1804.04,1795.02,9.02,0.5,2644.55,1777.44,64076424.6,102195,1412,Others,19544.8826
2026-09-07,54,HYDPOWIND,HydroPower Index,1,3499.64,3535.55,3490.86,3514.75,3496.87,17.88,0.51,4129.68,3147.74,1528073246.4,3884934,21301,Hydro Power,21317.6436
2026-09-07,55,DEVBANKIND,Development Bank Index,1,5423.63,5466.2,5402.48,5442.15,5434.73,7.42,0.13,6525.43,5236.74,414645202.9,879957,4169,Development Banks,3713.3472
2026-09-07,56,MANPROCIND,Manufacturing And Processing,1,10509.62,10641.92,10491.18,10609.87,10479.16,130.71,1.24,11881.08,6982.78,737686555.1,661089,8416,Manufacturing And Processing,3627.5391
2026-09-07,59,NONLIFIND,Non Life Insurance,1,9290.7,9496.61,9290.7,9484.94,9290.71,194.23,2.09,12266.45,9243.71,70966267.6,145660,1081,Non Life Insurance,1923.1267
2026-09-07,60,FININD,Finance Index,1,2242.22,2254.99,2235.93,2245.11,2255.01,-9.9,-0.43,2705.17,2157.02,120864648.6,248974,1445,Finance,3235.9835
2026-09-07,61,TRDIND,Trading Index,1,3241.67,3247.85,3186.42,3238.64,3241.67,-3.03,-0.09,4276.68,3180.71,5614955.5,1090,44,Tradings,5613.7011
2026-09-07,64,MICRFININD,Microfinance Index,1,4408.61,4434.55,4396.32,4428.75,4401.83,26.92,0.61,5312.77,4368.48,152926549.9,167899,2182,Microfinance,7593.988
2026-09-07,65,LIFINSIND,Life Insurance,1,11175.03,11285.33,11140.06,11232.55,11181.24,51.31,0.45,13916.15,11062.72,58643070.5,125245,1905,Life Insurance,3069.8792
2026-09-07,66,MUTUALIND,Mutual Fund,1,19.55,19.7,19.38,19.69,19.56,0.13,0.71,22.33,19.49,12697285.56,1224152,562,Mutual Fund,22268.487
2026-09-07,67,INVIDX,Investment Index,1,95.07,95.64,94.21,95.05,95.0,0.05,0.06,113.77,92.82,130820233.9,191494,1352,Investment,315640.8816
