businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-01,57,SENSIND,Sensitive Index,0,445.09,447.64,442.83,446.16,444.44,1.72,0.38,507.0,435.29,1016146170.6,2498650,11593,ALL,447841.1858
2026-09-01,58,NEPSE,NEPSE Index,0,2518.13,2537.76,2501.49,2522.66,2513.42,9.24,0.36,2960.4,2487.17,2883784596.3,6703817,47587,ALL,170555.0075
2026-09-01,62,FLOATIND,Float Index,0,172.73,173.83,171.61,172.97,172.25,0.72,0.42,204.2,170.57,2883784596.3,6703817,47587,ALL,839190.1912
2026-09-01,63,SENSFLTIND,Sensitive Float Index,0,150.06,150.96,149.28,150.43,149.78,0.65,0.43,173.41,147.6,1016146170.6,2498650,11593,ALL,527142.7323
2026-09-01,51,BANKSUBIND,Banking SubIndex,1,1422.42,1422.57,1407.46,1416.78,1414.12,2.66,0.18,1567.1,1326.12,280120506.7,988800,3825,Commercial Banks,77351.6855
2026-09-01,52,HOTELIND,Hotels And Tourism Index,1,6987.28,7098.92,6976.05,7035.66,6989.29,46.37,0.66,8457.99,5895.07,68822572.0,149300,1090,Hotels And Tourism,1997.6871
2026-09-01,53,OTHERSIND,Others Index,1,1782.04,1800.27,1762.59,1787.13,1777.45,9.68,0.54,2679.6,1777.44,81490246.0,127953,1437,Others,19544.8826
2026-09-01,54,HYDPOWIND,HydroPower Index,1,3440.61,3497.6,3417.91,3472.14,3437.14,35.0,1.01,4129.68,3147.74,1436283572.4,3897301,22637,Hydro Power,21317.6436
2026-09-01,55,DEVBANKIND,Development Bank Index,1,5379.5,5420.4,5362.82,5391.91,5385.72,6.19,0.11,6525.43,5236.74,116226666.3,222251,1451,Development Banks,3713.3472
2026-09-01,56,MANPROCIND,Manufacturing And Processing,1,10480.36,10519.96,10354.12,10380.1,10485.65,-105.55,-1.0,11881.08,6982.78,460869393.0,556515,10156,Manufacturing And Processing,3627.5391
2026-09-01,59,NONLIFIND,Non Life Insurance,1,9243.71,9392.79,9111.28,9324.14,9243.72,80.42,0.87,12416.93,9243.71,75912581.7,168712,1309,Non Life Insurance,1923.1267
2026-09-01,60,FININD,Finance Index,1,2230.85,2255.59,2227.04,2242.36,2236.65,5.71,0.25,2705.17,2157.02,61912286.3,116754,774,Finance,3235.9835
2026-09-01,61,TRDIND,Trading Index,1,3180.71,3241.11,3110.43,3183.61,3180.72,2.89,0.09,4276.68,3180.71,2540732.3,505,25,Tradings,5613.7011
2026-09-01,64,MICRFININD,Microfinance Index,1,4366.35,4397.29,4349.42,4370.82,4368.49,2.33,0.05,5312.77,4368.48,126111405.6,139535,1811,Microfinance,7593.988
2026-09-01,65,LIFINSIND,Life Insurance,1,11105.17,11181.3,11027.85,11162.14,11062.73,99.41,0.89,13916.15,11062.72,58434302.4,131138,1833,Life Insurance,3069.8792
2026-09-01,66,MUTUALIND,Mutual Fund,1,19.46,19.55,19.41,19.54,19.49,0.05,0.26,22.33,19.49,8380258.25,836235,502,Mutual Fund,22268.487
2026-09-01,67,INVIDX,Investment Index,1,92.67,93.86,92.14,93.39,92.82,0.57,0.61,113.77,92.82,115060331.6,205053,1239,Investment,315640.8816
