businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-03,57,SENSIND,Sensitive Index,0,449.63,450.31,448.03,449.5,449.19,0.31,0.06,507.0,435.29,1056123696.6,2609026,10032,ALL,447841.1858
2026-09-03,58,NEPSE,NEPSE Index,0,2536.98,2545.04,2533.28,2542.77,2538.11,4.66,0.18,2960.4,2487.17,3395416485.5,6991242,39884,ALL,170555.0075
2026-09-03,62,FLOATIND,Float Index,0,174.15,174.6,173.69,174.35,174.2,0.15,0.08,204.2,170.57,3395416485.5,6991242,39884,ALL,839190.1912
2026-09-03,63,SENSFLTIND,Sensitive Float Index,0,151.79,151.99,151.16,151.73,151.61,0.12,0.08,173.41,147.6,1056123696.6,2609026,10032,ALL,527142.7323
2026-09-03,51,BANKSUBIND,Banking SubIndex,1,1430.18,1433.41,1426.21,1430.65,1427.16,3.49,0.24,1567.1,1326.12,323277680.3,1163558,3789,Commercial Banks,77351.6855
2026-09-03,52,HOTELIND,Hotels And Tourism Index,1,7057.49,7080.51,7019.64,7063.55,7057.04,6.51,0.09,8457.99,5895.07,56078404.2,113711,984,Hotels And Tourism,1997.6871
2026-09-03,53,OTHERSIND,Others Index,1,1799.38,1830.2,1792.57,1795.01,1801.6,-6.59,-0.36,2658.0,1777.44,48941810.8,77668,1019,Others,19544.8826
2026-09-03,54,HYDPOWIND,HydroPower Index,1,3498.67,3514.84,3483.58,3496.87,3505.21,-8.34,-0.23,4129.68,3147.74,1599970008.3,4027422,19117,Hydro Power,21317.6436
2026-09-03,55,DEVBANKIND,Development Bank Index,1,5391.7,5439.21,5388.42,5434.72,5423.86,10.86,0.2,6525.43,5236.74,191617878.6,402404,1903,Development Banks,3713.3472
2026-09-03,56,MANPROCIND,Manufacturing And Processing,1,10412.4,10519.08,10399.53,10479.15,10430.86,48.29,0.46,11881.08,6982.78,763887309.8,571909,6886,Manufacturing And Processing,3627.5391
2026-09-03,59,NONLIFIND,Non Life Insurance,1,9316.86,9339.5,9248.49,9290.7,9316.85,-26.15,-0.28,12279.72,9243.71,41203899.2,87703,735,Non Life Insurance,1923.1267
2026-09-03,60,FININD,Finance Index,1,2256.04,2281.37,2241.16,2255.02,2262.83,-7.81,-0.34,2705.17,2157.02,106597031.5,190781,1132,Finance,3235.9835
2026-09-03,61,TRDIND,Trading Index,1,3206.61,3249.89,3206.61,3241.67,3206.61,35.06,1.09,4276.68,3180.71,6966269.0,1380,36,Tradings,5613.7011
2026-09-03,64,MICRFININD,Microfinance Index,1,4387.47,4401.83,4368.43,4401.83,4389.98,11.85,0.27,5312.77,4368.48,102049753.0,104749,1792,Microfinance,7593.988
2026-09-03,65,LIFINSIND,Life Insurance,1,11167.29,11227.45,11136.72,11181.24,11172.2,9.04,0.08,13916.15,11062.72,54285575.0,122913,1435,Life Insurance,3069.8792
2026-09-03,66,MUTUALIND,Mutual Fund,1,19.52,19.59,19.44,19.55,19.52,0.03,0.17,22.33,19.49,58822289.39,5123917,621,Mutual Fund,22268.487
2026-09-03,67,INVIDX,Investment Index,1,93.82,95.03,93.34,94.99,93.81,1.18,1.26,113.77,92.82,100540865.8,127044,1056,Investment,315640.8816
