businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-11,57,SENSIND,Sensitive Index,0,449.99,453.92,449.48,453.92,449.94,3.98,0.88,507.0,435.29,1281283775.7,3018109,10571,ALL,447841.1858
2026-09-11,58,NEPSE,NEPSE Index,0,2529.77,2559.49,2524.55,2559.49,2531.55,27.94,1.1,2960.4,2487.17,4263457623.04,10765179,48063,ALL,170555.0075
2026-09-11,62,FLOATIND,Float Index,0,173.74,175.7,173.56,175.7,173.82,1.88,1.08,204.2,170.57,4263457623.04,10765179,48063,ALL,839190.1912
2026-09-11,63,SENSFLTIND,Sensitive Float Index,0,151.75,153.21,151.58,153.21,151.78,1.43,0.94,173.41,147.6,1281283775.7,3018109,10571,ALL,527142.7323
2026-09-11,51,BANKSUBIND,Banking SubIndex,1,1441.44,1449.7,1438.39,1449.19,1437.96,11.23,0.78,1567.1,1326.12,427023686.5,1440389,3552,Commercial Banks,77351.6855
2026-09-11,52,HOTELIND,Hotels And Tourism Index,1,6907.73,7025.2,6907.73,7025.2,6952.45,72.75,1.04,8457.99,5895.07,118428259.0,231253,1491,Hotels And Tourism,1997.6871
2026-09-11,53,OTHERSIND,Others Index,1,1776.31,1791.86,1775.18,1791.17,1783.59,7.58,0.42,2503.22,1777.44,56673778.9,93575,1091,Others,19544.8826
2026-09-11,54,HYDPOWIND,HydroPower Index,1,3477.51,3541.79,3463.4,3541.79,3477.89,63.9,1.83,4129.68,3147.74,2280084181.3,7123633,25985,Hydro Power,21317.6436
2026-09-11,55,DEVBANKIND,Development Bank Index,1,5291.94,5350.68,5275.4,5350.68,5294.63,56.05,1.05,6525.43,5236.74,224103436.4,500739,3148,Development Banks,3713.3472
2026-09-11,56,MANPROCIND,Manufacturing And Processing,1,10441.33,10551.73,10423.67,10539.22,10458.45,80.77,0.77,11881.08,6982.78,473161043.5,416369,5569,Manufacturing And Processing,3627.5391
2026-09-11,59,NONLIFIND,Non Life Insurance,1,9262.31,9422.06,9207.69,9422.06,9262.32,159.74,1.72,11996.38,9243.71,43948112.0,93842,708,Non Life Insurance,1923.1267
2026-09-11,60,FININD,Finance Index,1,2181.08,2201.32,2175.89,2193.75,2183.59,10.16,0.46,2705.17,2157.02,92277627.24,191230,1228,Finance,3235.9835
2026-09-11,61,TRDIND,Trading Index,1,3179.06,3243.72,3089.68,3223.8,3179.06,44.74,1.4,4276.68,3179.06,9790803.2,1849,81,Tradings,5613.7011
2026-09-11,64,MICRFININD,Microfinance Index,1,4370.07,4434.35,4368.52,4434.35,4391.68,42.67,0.97,5312.77,4368.48,185653895.2,197331,1982,Microfinance,7593.988
2026-09-11,65,LIFINSIND,Life Insurance,1,11189.78,11299.25,11142.33,11299.25,11189.79,109.46,0.97,13916.15,11062.72,84117159.9,187590,1626,Life Insurance,3069.8792
2026-09-11,66,MUTUALIND,Mutual Fund,1,19.48,19.5,19.33,19.5,19.49,0.01,0.09,22.33,19.48,9611063.02,1082613,414,Mutual Fund,22268.487
2026-09-11,67,INVIDX,Investment Index,1,93.62,95.45,93.17,95.39,93.91,1.48,1.58,113.77,92.82,268195639.9,287379,1602,Investment,315640.8816
