businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-23,57,SENSIND,Sensitive Index,0,475.96,476.2,466.52,467.46,473.79,-6.33,-1.33,507.0,435.29,2593736058.8,5890206,18315,ALL,447841.1858
2026-09-23,58,NEPSE,NEPSE Index,0,2670.27,2671.04,2613.13,2618.03,2654.28,-36.25,-1.36,2960.4,2487.17,6165567507.26,14430993,56890,ALL,170555.0075
2026-09-23,62,FLOATIND,Float Index,0,184.04,184.09,180.01,180.39,182.99,-2.6,-1.42,204.2,170.57,6165567507.26,14430993,56890,ALL,839190.1912
2026-09-23,63,SENSFLTIND,Sensitive Float Index,0,160.75,160.81,157.45,157.8,159.99,-2.19,-1.37,173.41,147.6,2593736058.8,5890206,18315,ALL,527142.7323
2026-09-23,51,BANKSUBIND,Banking SubIndex,1,1530.51,1531.93,1494.92,1497.87,1516.46,-18.59,-1.22,1567.1,1327.01,884549510.2,3238232,7350,Commercial Banks,77351.6855
2026-09-23,52,HOTELIND,Hotels And Tourism Index,1,7225.69,7248.35,7135.96,7161.86,7232.76,-70.9,-0.98,8457.99,5895.07,119736947.71,223915,1507,Hotels And Tourism,1997.6871
2026-09-23,53,OTHERSIND,Others Index,1,1889.7,1889.7,1819.11,1829.74,1860.62,-30.88,-1.65,2503.22,1777.44,87074308.05,138694,1518,Others,19544.8826
2026-09-23,54,HYDPOWIND,HydroPower Index,1,3645.77,3660.63,3589.33,3598.63,3659.62,-60.99,-1.66,4129.68,3147.74,2703107025.4,7441331,26656,Hydro Power,21317.6436
2026-09-23,55,DEVBANKIND,Development Bank Index,1,5558.9,5563.28,5432.27,5443.83,5519.32,-75.49,-1.36,6525.43,5236.74,432102229.7,936282,3427,Development Banks,3713.3472
2026-09-23,56,MANPROCIND,Manufacturing And Processing,1,10674.58,10706.84,10608.07,10638.15,10686.34,-48.19,-0.45,11881.08,7057.22,1006166937.2,1050907,6735,Manufacturing And Processing,3627.5391
2026-09-23,59,NONLIFIND,Non Life Insurance,1,9795.79,9801.14,9607.86,9666.0,9795.78,-129.78,-1.32,11996.38,9243.71,41153196.6,88712,747,Non Life Insurance,1923.1267
2026-09-23,60,FININD,Finance Index,1,2266.15,2267.01,2216.79,2230.87,2255.63,-24.76,-1.09,2705.17,2157.02,103091926.6,205211,1270,Finance,3235.9835
2026-09-23,61,TRDIND,Trading Index,1,3279.97,3332.92,3238.56,3238.56,3279.96,-41.4,-1.26,4276.68,3179.06,39571667.4,7335,55,Tradings,5613.7011
2026-09-23,64,MICRFININD,Microfinance Index,1,4583.89,4585.51,4516.85,4530.62,4590.95,-60.33,-1.31,5312.77,4368.48,227808107.8,245249,2597,Microfinance,7593.988
2026-09-23,65,LIFINSIND,Life Insurance,1,12266.21,12273.03,11779.63,11800.79,12047.44,-246.65,-2.04,13916.15,11062.72,153927509.1,330167,2309,Life Insurance,3069.8792
2026-09-23,66,MUTUALIND,Mutual Fund,1,19.58,19.6,19.46,19.58,19.61,-0.03,-0.15,22.33,19.44,55279295.97,6468722,521,Mutual Fund,22268.487
2026-09-23,67,INVIDX,Investment Index,1,100.11,100.11,96.32,96.54,98.0,-1.46,-1.49,113.77,92.82,367278141.5,524958,2719,Investment,315640.8816
