businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-10,57,SENSIND,Sensitive Index,0,452.74,452.74,449.16,449.93,452.33,-2.4,-0.53,507.0,435.29,1368385009.2,3255055,10538,ALL,447841.1858
2026-09-10,58,NEPSE,NEPSE Index,0,2544.46,2546.1,2525.69,2531.55,2545.4,-13.85,-0.54,2960.4,2487.17,3971171907.8,9687775,43291,ALL,170555.0075
2026-09-10,62,FLOATIND,Float Index,0,174.55,174.64,173.34,173.82,174.65,-0.83,-0.47,204.2,170.57,3971171907.8,9687775,43291,ALL,839190.1912
2026-09-10,63,SENSFLTIND,Sensitive Float Index,0,152.75,152.75,151.49,151.78,152.58,-0.8,-0.52,173.41,147.6,1368385009.2,3255055,10538,ALL,527142.7323
2026-09-10,51,BANKSUBIND,Banking SubIndex,1,1446.93,1447.06,1436.49,1437.96,1444.89,-6.93,-0.47,1567.1,1326.12,539800778.6,1695946,4003,Commercial Banks,77351.6855
2026-09-10,52,HOTELIND,Hotels And Tourism Index,1,6952.1,7039.04,6915.02,6952.45,6987.77,-35.32,-0.5,8457.99,5895.07,167431548.5,312348,1857,Hotels And Tourism,1997.6871
2026-09-10,53,OTHERSIND,Others Index,1,1787.08,1799.52,1780.43,1783.59,1795.19,-11.6,-0.64,2503.22,1777.44,57903557.9,103284,1180,Others,19544.8826
2026-09-10,54,HYDPOWIND,HydroPower Index,1,3489.18,3495.37,3462.21,3477.88,3497.35,-19.47,-0.55,4129.68,3147.74,1794072313.6,5759710,21039,Hydro Power,21317.6436
2026-09-10,55,DEVBANKIND,Development Bank Index,1,5299.32,5314.6,5268.74,5294.63,5312.83,-18.2,-0.34,6525.43,5236.74,220875216.7,470419,2740,Development Banks,3713.3472
2026-09-10,56,MANPROCIND,Manufacturing And Processing,1,10635.23,10642.82,10442.7,10458.45,10579.45,-121.0,-1.14,11881.08,6982.78,551934925.7,467513,5386,Manufacturing And Processing,3627.5391
2026-09-10,59,NONLIFIND,Non Life Insurance,1,9335.62,9335.62,9226.79,9262.31,9335.61,-73.3,-0.78,11996.38,9243.71,43404994.5,79758,670,Non Life Insurance,1923.1267
2026-09-10,60,FININD,Finance Index,1,2191.21,2203.43,2166.39,2183.58,2198.28,-14.7,-0.66,2705.17,2157.02,128969151.9,264328,1587,Finance,3235.9835
2026-09-10,61,TRDIND,Trading Index,1,3187.88,3229.57,3155.36,3179.06,3187.87,-8.81,-0.27,4276.68,3179.06,14978078.7,2904,100,Tradings,5613.7011
2026-09-10,64,MICRFININD,Microfinance Index,1,4410.79,4412.75,4366.67,4391.68,4416.71,-25.03,-0.56,5312.77,4368.48,124311407.4,125258,1728,Microfinance,7593.988
2026-09-10,65,LIFINSIND,Life Insurance,1,11209.92,11226.58,11104.17,11189.78,11209.1,-19.32,-0.17,13916.15,11062.72,47827871.4,107193,1331,Life Insurance,3069.8792
2026-09-10,66,MUTUALIND,Mutual Fund,1,19.58,19.6,19.37,19.48,19.59,-0.11,-0.57,22.33,19.48,8661933.17,837360,485,Mutual Fund,22268.487
2026-09-10,67,INVIDX,Investment Index,1,94.27,94.46,93.19,93.9,94.26,-0.36,-0.38,113.77,92.82,279662062.9,299114,1670,Investment,315640.8816
