businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-24,57,SENSIND,Sensitive Index,0,468.08,469.2,465.34,469.01,467.46,1.55,0.33,507.0,435.29,2219221573.6,4759519,15858,ALL,447841.1858
2026-09-24,58,NEPSE,NEPSE Index,0,2611.03,2629.94,2605.32,2629.81,2618.04,11.77,0.44,2960.4,2487.17,5216090156.6,11491417,50789,ALL,170555.0075
2026-09-24,62,FLOATIND,Float Index,0,179.8,181.19,179.46,181.18,180.39,0.79,0.43,204.2,170.57,5216090156.6,11491417,50789,ALL,839190.1912
2026-09-24,63,SENSFLTIND,Sensitive Float Index,0,157.81,158.44,157.05,158.36,157.81,0.55,0.35,173.41,147.6,2219221573.6,4759519,15858,ALL,527142.7323
2026-09-24,51,BANKSUBIND,Banking SubIndex,1,1504.73,1507.36,1490.86,1504.77,1497.87,6.9,0.46,1567.1,1327.01,730917037.2,2650811,6365,Commercial Banks,77351.6855
2026-09-24,52,HOTELIND,Hotels And Tourism Index,1,7117.94,7192.84,7116.53,7171.19,7161.86,9.33,0.13,8457.99,5895.07,123117195.3,226854,1655,Hotels And Tourism,1997.6871
2026-09-24,53,OTHERSIND,Others Index,1,1807.59,1851.23,1807.59,1830.6,1829.75,0.85,0.04,2484.12,1777.44,50621733.3,79006,1255,Others,19544.8826
2026-09-24,54,HYDPOWIND,HydroPower Index,1,3572.02,3604.09,3570.28,3603.41,3598.64,4.77,0.13,4129.68,3147.74,1898422053.2,5134614,20912,Hydro Power,21317.6436
2026-09-24,55,DEVBANKIND,Development Bank Index,1,5437.62,5452.76,5418.14,5444.56,5443.83,0.73,0.01,6525.43,5236.74,238439864.0,504725,2264,Development Banks,3713.3472
2026-09-24,56,MANPROCIND,Manufacturing And Processing,1,10618.66,10853.13,10612.57,10833.44,10638.15,195.29,1.83,11881.08,7057.22,1429705487.8,1754788,10393,Manufacturing And Processing,3627.5391
2026-09-24,59,NONLIFIND,Non Life Insurance,1,9630.07,9658.86,9550.52,9633.81,9666.0,-32.19,-0.33,11996.38,9243.71,35959882.7,70388,737,Non Life Insurance,1923.1267
2026-09-24,60,FININD,Finance Index,1,2211.86,2233.33,2210.07,2233.28,2230.87,2.41,0.1,2705.17,2157.02,145146196.2,250571,954,Finance,3235.9835
2026-09-24,61,TRDIND,Trading Index,1,3238.56,3271.47,3233.12,3270.07,3238.57,31.5,0.97,4276.68,3179.06,6838673.0,1275,32,Tradings,5613.7011
2026-09-24,64,MICRFININD,Microfinance Index,1,4498.27,4558.7,4498.24,4558.7,4530.63,28.07,0.61,5312.77,4368.48,210044345.6,217364,1957,Microfinance,7593.988
2026-09-24,65,LIFINSIND,Life Insurance,1,11688.96,11884.47,11665.34,11884.47,11800.79,83.68,0.7,13916.15,11062.72,84034534.6,180322,1773,Life Insurance,3069.8792
2026-09-24,66,MUTUALIND,Mutual Fund,1,19.58,19.67,19.47,19.67,19.59,0.08,0.42,22.33,19.44,46410490.2,5179562,578,Mutual Fund,22268.487
2026-09-24,67,INVIDX,Investment Index,1,97.14,97.86,95.98,96.65,96.55,0.1,0.1,113.77,92.82,262843153.7,420699,2492,Investment,315640.8816
