businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-16,57,SENSIND,Sensitive Index,0,467.88,468.66,462.56,463.68,467.45,-3.77,-0.8,507.0,435.29,1747389007.1,4162345,14791,ALL,447841.1858
2026-09-16,58,NEPSE,NEPSE Index,0,2635.31,2639.41,2604.04,2612.42,2633.61,-21.19,-0.8,2960.4,2487.17,5325041640.9,13140879,54924,ALL,170555.0075
2026-09-16,62,FLOATIND,Float Index,0,181.2,181.48,179.05,179.63,181.13,-1.5,-0.83,204.2,170.57,5325041640.9,13140879,54924,ALL,839190.1912
2026-09-16,63,SENSFLTIND,Sensitive Float Index,0,158.02,158.29,156.18,156.58,157.9,-1.32,-0.84,173.41,147.6,1747389007.1,4162345,14791,ALL,527142.7323
2026-09-16,51,BANKSUBIND,Banking SubIndex,1,1490.68,1493.07,1474.5,1478.89,1488.35,-9.46,-0.63,1567.1,1326.12,670575158.9,2322588,6307,Commercial Banks,77351.6855
2026-09-16,52,HOTELIND,Hotels And Tourism Index,1,7154.48,7198.64,7092.44,7124.96,7186.65,-61.69,-0.85,8457.99,5895.07,106351738.5,204230,1509,Hotels And Tourism,1997.6871
2026-09-16,53,OTHERSIND,Others Index,1,1854.8,1869.4,1824.25,1838.53,1854.79,-16.26,-0.87,2503.22,1777.44,84949702.8,129047,1311,Others,19544.8826
2026-09-16,54,HYDPOWIND,HydroPower Index,1,3650.77,3657.69,3599.06,3611.01,3648.98,-37.97,-1.04,4129.68,3147.74,2687155030.2,8137207,29049,Hydro Power,21317.6436
2026-09-16,55,DEVBANKIND,Development Bank Index,1,5493.29,5498.96,5441.01,5452.4,5492.53,-40.13,-0.73,6525.43,5236.74,256581952.8,522728,2734,Development Banks,3713.3472
2026-09-16,56,MANPROCIND,Manufacturing And Processing,1,10711.03,10711.03,10557.93,10620.39,10679.31,-58.92,-0.55,11881.08,6982.78,691561749.8,641979,5429,Manufacturing And Processing,3627.5391
2026-09-16,59,NONLIFIND,Non Life Insurance,1,9833.95,9861.24,9669.03,9745.87,9835.84,-89.97,-0.91,11996.38,9243.71,72326298.1,139947,952,Non Life Insurance,1923.1267
2026-09-16,60,FININD,Finance Index,1,2265.66,2295.82,2249.75,2262.82,2280.32,-17.5,-0.76,2705.17,2157.02,134640637.0,268462,1588,Finance,3235.9835
2026-09-16,61,TRDIND,Trading Index,1,3298.63,3340.77,3259.87,3275.42,3298.63,-23.21,-0.7,4276.68,3179.06,7730344.6,1472,61,Tradings,5613.7011
2026-09-16,64,MICRFININD,Microfinance Index,1,4538.83,4551.18,4492.71,4509.9,4547.63,-37.73,-0.82,5312.77,4368.48,198540728.6,211801,2309,Microfinance,7593.988
2026-09-16,65,LIFINSIND,Life Insurance,1,11802.25,11807.16,11595.16,11642.71,11761.61,-118.9,-1.01,13916.15,11062.72,97782304.7,206831,1880,Life Insurance,3069.8792
2026-09-16,66,MUTUALIND,Mutual Fund,1,19.63,19.63,19.5,19.51,19.63,-0.12,-0.64,22.33,19.44,14323872.35,1528960,494,Mutual Fund,22268.487
2026-09-16,67,INVIDX,Investment Index,1,98.46,98.89,96.86,97.62,98.42,-0.8,-0.81,113.77,92.82,316845994.9,354587,1795,Investment,315640.8816
