businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-08-27,57,SENSIND,Sensitive Index,0,451.15,452.58,445.04,451.12,451.66,-0.54,-0.12,507.0,435.29,1428854476.7,3467691,13873,ALL,447841.1858
2026-08-27,58,NEPSE,NEPSE Index,0,2553.99,2566.78,2517.79,2557.31,2558.35,-1.04,-0.04,2960.4,2487.17,3748414402.6,9071117,51948,ALL,170555.0075
2026-08-27,62,FLOATIND,Float Index,0,175.02,175.82,172.6,175.26,175.42,-0.16,-0.09,204.2,170.57,3748414402.6,9071117,51948,ALL,839190.1912
2026-08-27,63,SENSFLTIND,Sensitive Float Index,0,152.28,152.68,150.19,152.19,152.5,-0.31,-0.2,173.41,147.6,1428854476.7,3467691,13873,ALL,527142.7323
2026-08-27,51,BANKSUBIND,Banking SubIndex,1,1425.19,1434.24,1411.48,1428.52,1426.47,2.05,0.14,1567.1,1326.12,492926600.7,1651267,4181,Commercial Banks,77351.6855
2026-08-27,52,HOTELIND,Hotels And Tourism Index,1,7123.35,7180.84,7020.21,7164.16,7123.36,40.8,0.57,8457.99,5895.07,53188742.6,103903,1146,Hotels And Tourism,1997.6871
2026-08-27,53,OTHERSIND,Others Index,1,1850.4,1861.57,1819.5,1838.23,1858.18,-19.95,-1.07,2761.49,1838.23,77105564.5,121450,1590,Others,19544.8826
2026-08-27,54,HYDPOWIND,HydroPower Index,1,3536.5,3554.68,3465.03,3541.5,3561.28,-19.78,-0.55,4129.68,3147.74,1865410530.2,5246579,27933,Hydro Power,21317.6436
2026-08-27,55,DEVBANKIND,Development Bank Index,1,5411.71,5447.83,5327.81,5438.37,5414.47,23.9,0.44,6525.43,5236.74,119566326.1,226092,1683,Development Banks,3713.3472
2026-08-27,56,MANPROCIND,Manufacturing And Processing,1,10269.09,10505.47,10187.0,10412.01,10233.83,178.18,1.74,11881.08,6982.78,686651847.0,942222,8296,Manufacturing And Processing,3627.5391
2026-08-27,59,NONLIFIND,Non Life Insurance,1,9935.32,9935.32,9519.78,9733.78,9935.59,-201.81,-2.03,12522.18,9733.78,95466390.4,193072,1515,Non Life Insurance,1923.1267
2026-08-27,60,FININD,Finance Index,1,2248.4,2285.88,2215.11,2268.73,2253.77,14.96,0.66,2705.17,2157.02,83090505.4,153271,984,Finance,3235.9835
2026-08-27,61,TRDIND,Trading Index,1,3216.43,3236.73,3145.71,3216.55,3216.43,0.12,0.0,4276.68,3216.43,3031548.0,679,33,Tradings,5613.7011
2026-08-27,64,MICRFININD,Microfinance Index,1,4409.92,4418.02,4367.66,4418.02,4412.63,5.39,0.12,5312.77,4412.62,102444807.3,103639,1737,Microfinance,7593.988
2026-08-27,65,LIFINSIND,Life Insurance,1,11304.67,11324.31,11093.36,11285.04,11313.14,-28.1,-0.24,13916.15,11285.04,59760904.8,129064,1619,Life Insurance,3069.8792
2026-08-27,66,MUTUALIND,Mutual Fund,1,19.8,19.81,19.62,19.69,20.3,-0.61,-3.05,22.33,19.69,15497518.97,1459377,380,Mutual Fund,22268.487
2026-08-27,67,INVIDX,Investment Index,1,93.77,94.0,92.64,93.94,93.8,0.14,0.15,113.77,93.8,109770635.6,199879,1231,Investment,315640.8816
