businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-14,57,SENSIND,Sensitive Index,0,454.2,458.34,453.97,458.26,453.92,4.34,0.95,507.0,435.29,1768605175.9,4070602,13363,ALL,447841.1858
2026-09-14,58,NEPSE,NEPSE Index,0,2559.78,2587.47,2556.9,2585.04,2559.49,25.55,0.99,2960.4,2487.17,4648331513.1,10666631,48321,ALL,170555.0075
2026-09-14,62,FLOATIND,Float Index,0,175.86,177.71,175.74,177.57,175.7,1.87,1.06,204.2,170.57,4648331513.1,10666631,48321,ALL,839190.1912
2026-09-14,63,SENSFLTIND,Sensitive Float Index,0,153.43,154.82,153.29,154.77,153.21,1.56,1.01,173.41,147.6,1768605175.9,4070602,13363,ALL,527142.7323
2026-09-14,51,BANKSUBIND,Banking SubIndex,1,1448.81,1460.97,1448.81,1460.51,1449.2,11.31,0.78,1567.1,1326.12,495222551.2,1768178,4534,Commercial Banks,77351.6855
2026-09-14,52,HOTELIND,Hotels And Tourism Index,1,7030.11,7112.67,7014.62,7085.85,7025.21,60.64,0.86,8457.99,5895.07,120587747.2,223271,1535,Hotels And Tourism,1997.6871
2026-09-14,53,OTHERSIND,Others Index,1,1791.78,1821.14,1789.0,1816.11,1791.17,24.94,1.39,2503.22,1777.44,74328602.2,115590,1227,Others,19544.8826
2026-09-14,54,HYDPOWIND,HydroPower Index,1,3555.23,3597.2,3537.77,3583.0,3541.8,41.2,1.16,4129.68,3147.74,2270786443.8,6356979,24580,Hydro Power,21317.6436
2026-09-14,55,DEVBANKIND,Development Bank Index,1,5343.56,5408.62,5343.48,5397.46,5350.69,46.77,0.87,6525.43,5236.74,253712334.3,546859,2656,Development Banks,3713.3472
2026-09-14,56,MANPROCIND,Manufacturing And Processing,1,10503.09,10653.11,10502.7,10596.82,10539.23,57.59,0.54,11881.08,6982.78,596908001.3,539592,5567,Manufacturing And Processing,3627.5391
2026-09-14,59,NONLIFIND,Non Life Insurance,1,9378.51,9602.32,9368.11,9565.18,9422.07,143.11,1.51,11996.38,9243.71,60309267.0,118843,912,Non Life Insurance,1923.1267
2026-09-14,60,FININD,Finance Index,1,2192.26,2233.54,2182.95,2230.54,2193.76,36.78,1.67,2705.17,2157.02,148874802.0,281175,1491,Finance,3235.9835
2026-09-14,61,TRDIND,Trading Index,1,3223.8,3268.36,3170.23,3268.36,3223.81,44.55,1.38,4276.68,3179.06,7399020.1,1533,36,Tradings,5613.7011
2026-09-14,64,MICRFININD,Microfinance Index,1,4433.69,4469.38,4417.64,4469.38,4434.36,35.02,0.78,5312.77,4368.48,203070024.2,211601,2266,Microfinance,7593.988
2026-09-14,65,LIFINSIND,Life Insurance,1,11303.69,11497.56,11282.3,11464.2,11299.25,164.95,1.45,13916.15,11062.72,80157818.6,176952,1750,Life Insurance,3069.8792
2026-09-14,66,MUTUALIND,Mutual Fund,1,19.49,19.5,19.38,19.44,19.5,-0.06,-0.31,22.33,19.44,7595223.51,770785,400,Mutual Fund,22268.487
2026-09-14,67,INVIDX,Investment Index,1,95.39,96.52,94.98,96.0,95.39,0.61,0.64,113.77,92.82,336974901.2,326058,1767,Investment,315640.8816
