businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-17,57,SENSIND,Sensitive Index,0,464.3,467.58,464.12,465.75,463.68,2.07,0.44,507.0,435.29,2148463089.2,5133411,15862,ALL,447841.1858
2026-09-17,58,NEPSE,NEPSE Index,0,2616.12,2637.58,2615.69,2624.36,2612.43,11.93,0.45,2960.4,2487.17,5429381297.59,12597258,50929,ALL,170555.0075
2026-09-17,62,FLOATIND,Float Index,0,179.91,181.33,179.86,180.58,179.63,0.95,0.53,204.2,170.57,5429381297.59,12597258,50929,ALL,839190.1912
2026-09-17,63,SENSFLTIND,Sensitive Float Index,0,156.82,158.0,156.75,157.42,156.59,0.83,0.53,173.41,147.6,2148463089.2,5133411,15862,ALL,527142.7323
2026-09-17,51,BANKSUBIND,Banking SubIndex,1,1483.33,1491.43,1481.32,1487.47,1478.89,8.58,0.58,1567.1,1326.12,967212252.4,3024420,7919,Commercial Banks,77351.6855
2026-09-17,52,HOTELIND,Hotels And Tourism Index,1,7129.91,7228.6,7129.91,7185.78,7124.97,60.81,0.85,8457.99,5895.07,121311008.7,221338,1500,Hotels And Tourism,1997.6871
2026-09-17,53,OTHERSIND,Others Index,1,1849.03,1867.11,1830.84,1837.72,1838.53,-0.81,-0.04,2503.22,1777.44,58137953.3,92234,1148,Others,19544.8826
2026-09-17,54,HYDPOWIND,HydroPower Index,1,3609.14,3658.36,3609.07,3633.99,3611.02,22.97,0.63,4129.68,3147.74,2459541073.79,6760881,25031,Hydro Power,21317.6436
2026-09-17,55,DEVBANKIND,Development Bank Index,1,5436.85,5510.35,5432.71,5473.54,5452.41,21.13,0.38,6525.43,5236.74,295431824.3,633145,2516,Development Banks,3713.3472
2026-09-17,56,MANPROCIND,Manufacturing And Processing,1,10603.9,10721.27,10603.9,10650.01,10620.4,29.61,0.27,11881.08,6982.78,668487771.8,708803,4940,Manufacturing And Processing,3627.5391
2026-09-17,59,NONLIFIND,Non Life Insurance,1,9745.91,9878.78,9681.32,9751.05,9745.87,5.18,0.05,11996.38,9243.71,49053314.2,96621,806,Non Life Insurance,1923.1267
2026-09-17,60,FININD,Finance Index,1,2250.15,2296.83,2249.8,2268.1,2262.83,5.27,0.23,2705.17,2157.02,86085063.0,165368,1085,Finance,3235.9835
2026-09-17,61,TRDIND,Trading Index,1,3278.54,3431.42,3272.91,3282.74,3275.42,7.32,0.22,4276.68,3179.06,28211083.6,5200,86,Tradings,5613.7011
2026-09-17,64,MICRFININD,Microfinance Index,1,4500.87,4544.05,4500.87,4534.89,4509.9,24.99,0.55,5312.77,4368.48,173202654.9,181894,2048,Microfinance,7593.988
2026-09-17,65,LIFINSIND,Life Insurance,1,11649.53,11787.62,11641.1,11768.63,11642.71,125.92,1.08,13916.15,11062.72,216584773.5,359319,2156,Life Insurance,3069.8792
2026-09-17,66,MUTUALIND,Mutual Fund,1,19.51,19.64,19.43,19.63,19.51,0.12,0.65,22.33,19.44,5798378.74,590243,490,Mutual Fund,22268.487
2026-09-17,67,INVIDX,Investment Index,1,98.61,98.93,97.2,97.44,97.62,-0.18,-0.18,113.77,92.82,306122524.1,348035,1694,Investment,315640.8816
