businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-09-15,57,SENSIND,Sensitive Index,0,473.14,473.85,462.82,467.45,458.26,9.19,2.0,507.0,435.29,3369437139.6,8154779,24265,ALL,447841.1858
2026-09-15,58,NEPSE,NEPSE Index,0,2671.09,2679.9,2610.45,2633.62,2585.05,48.57,1.87,2960.4,2487.17,8211964784.1,19175780,77586,ALL,170555.0075
2026-09-15,62,FLOATIND,Float Index,0,183.57,184.2,179.3,181.13,177.57,3.56,2.0,204.2,170.57,8211964784.1,19175780,77586,ALL,839190.1912
2026-09-15,63,SENSFLTIND,Sensitive Float Index,0,159.86,160.08,156.21,157.91,154.78,3.13,2.02,173.41,147.6,3369437139.6,8154779,24265,ALL,527142.7323
2026-09-15,51,BANKSUBIND,Banking SubIndex,1,1510.89,1515.39,1472.3,1488.36,1460.51,27.85,1.9,1567.1,1326.12,1176378855.5,4215057,9434,Commercial Banks,77351.6855
2026-09-15,52,HOTELIND,Hotels And Tourism Index,1,7399.34,7435.28,7122.79,7186.66,7085.86,100.8,1.42,8457.99,5895.07,188572830.6,346102,2296,Hotels And Tourism,1997.6871
2026-09-15,53,OTHERSIND,Others Index,1,1870.0,1885.85,1835.62,1854.8,1816.12,38.68,2.12,2503.22,1777.44,146225713.0,226571,2206,Others,19544.8826
2026-09-15,54,HYDPOWIND,HydroPower Index,1,3696.14,3720.65,3613.02,3648.98,3583.0,65.98,1.84,4129.68,3147.74,3631788796.5,10021334,36492,Hydro Power,21317.6436
2026-09-15,55,DEVBANKIND,Development Bank Index,1,5552.36,5553.33,5447.2,5492.54,5397.46,95.08,1.76,6525.43,5236.74,453624146.1,969996,4217,Development Banks,3713.3472
2026-09-15,56,MANPROCIND,Manufacturing And Processing,1,10802.11,10900.04,10636.93,10679.31,10596.82,82.49,0.77,11881.08,6982.78,1119613388.1,1112228,8649,Manufacturing And Processing,3627.5391
2026-09-15,59,NONLIFIND,Non Life Insurance,1,9829.44,9928.39,9682.6,9835.84,9565.18,270.66,2.82,11996.38,9243.71,128588706.1,239903,1706,Non Life Insurance,1923.1267
2026-09-15,60,FININD,Finance Index,1,2298.19,2308.15,2247.09,2280.33,2230.55,49.78,2.23,2705.17,2157.02,269820540.5,518322,2462,Finance,3235.9835
2026-09-15,61,TRDIND,Trading Index,1,3428.95,3686.36,3234.76,3298.63,3268.36,30.27,0.92,4276.68,3179.06,16825326.7,3394,128,Tradings,5613.7011
2026-09-15,64,MICRFININD,Microfinance Index,1,4646.57,4646.57,4507.33,4547.63,4469.38,78.25,1.75,5312.77,4368.48,287312857.3,320620,3600,Microfinance,7593.988
2026-09-15,65,LIFINSIND,Life Insurance,1,11926.2,11983.04,11607.77,11761.61,11464.2,297.41,2.59,13916.15,11062.72,231257692.6,467311,3138,Life Insurance,3069.8792
2026-09-15,66,MUTUALIND,Mutual Fund,1,19.44,19.63,19.41,19.63,19.44,0.19,1.0,22.33,19.44,8989745.31,869955,603,Mutual Fund,22268.487
2026-09-15,67,INVIDX,Investment Index,1,99.14,100.87,97.18,98.42,96.0,2.42,2.52,113.77,92.82,561955931.1,734942,3258,Investment,315640.8816
